timestamp,timestamp_ms,method,scenario,est_x,est_y,gt_x,gt_y,error_m,raw_error_m,is_outlier
2026-04-01T21:36:52.677Z,1775079412677,rssi,Tag in the middle - C3,6.1000,2.8900,4.8000,4.7700,2.2857,2.2857,0
2026-04-01T21:36:53.245Z,1775079413245,rssi,Tag in the middle - C3,6.7400,1.9500,4.8000,4.7700,3.4229,3.4229,0
2026-04-01T21:36:53.831Z,1775079413831,raw,Tag in the middle - C3,6.0100,3.0100,4.8000,4.7700,2.1358,2.1358,0
2026-04-01T21:36:54.412Z,1775079414412,raw,Tag in the middle - C3,6.6900,2.0200,4.8000,4.7700,3.3369,3.3369,0
2026-04-01T21:36:54.999Z,1775079414999,kalman,Tag in the middle - C3,6.0200,3.0000,4.8000,4.7700,2.1497,2.1497,0
2026-04-01T21:36:55.561Z,1775079415561,kalman,Tag in the middle - C3,6.7000,2.0100,4.8000,4.7700,3.3508,3.3508,0
2026-04-01T21:36:56.148Z,1775079416148,fp,Tag in the middle - C3,0.8620,6.9545,4.8000,4.7700,4.5033,4.5033,0
2026-04-01T21:36:56.743Z,1775079416743,gp,Tag in the middle - C3,2.8800,5.6400,4.8000,4.7700,2.1079,2.1079,0
2026-04-01T21:38:29.495Z,1775079509495,rssi,Tag in the middle - C3,6.1000,3.3600,4.8000,4.7700,1.9178,1.9178,0
2026-04-01T21:38:30.289Z,1775079510289,rssi,Tag in the middle - C3,6.7900,2.3100,4.8000,4.7700,3.1641,3.1641,0
2026-04-01T21:38:30.870Z,1775079510870,raw,Tag in the middle - C3,6.0400,3.3300,4.8000,4.7700,1.9003,1.9003,0
2026-04-01T21:38:31.668Z,1775079511668,raw,Tag in the middle - C3,6.7000,2.3200,4.8000,4.7700,3.1004,3.1004,0
2026-04-01T21:38:32.262Z,1775079512262,kalman,Tag in the middle - C3,6.0700,3.2800,4.8000,4.7700,1.9578,1.9578,0
2026-04-01T21:38:32.854Z,1775079512854,kalman,Tag in the middle - C3,6.7400,2.2700,4.8000,4.7700,3.1644,3.1644,0
2026-04-01T21:38:33.444Z,1775079513444,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:38:34.003Z,1775079514003,gp,Tag in the middle - C3,3.4300,6.1500,4.8000,4.7700,1.9446,1.9446,0
2026-04-01T21:38:34.565Z,1775079514565,rssi,Tag in the middle - C3,6.1400,3.3000,4.8000,4.7700,1.9891,1.9891,0
2026-04-01T21:38:35.139Z,1775079515139,rssi,Tag in the middle - C3,6.7600,2.3000,4.8000,4.7700,3.1532,3.1532,0
2026-04-01T21:38:35.709Z,1775079515709,raw,Tag in the middle - C3,6.0400,3.3300,4.8000,4.7700,1.9003,1.9003,0
2026-04-01T21:38:36.298Z,1775079516298,raw,Tag in the middle - C3,6.7000,2.3200,4.8000,4.7700,3.1004,3.1004,0
2026-04-01T21:38:36.872Z,1775079516872,kalman,Tag in the middle - C3,6.0600,3.3000,4.8000,4.7700,1.9361,1.9361,0
2026-04-01T21:38:37.442Z,1775079517442,kalman,Tag in the middle - C3,6.7300,2.2900,4.8000,4.7700,3.1425,3.1425,0
2026-04-01T21:38:38.033Z,1775079518033,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:38:38.606Z,1775079518606,gp,Tag in the middle - C3,3.4300,6.1500,4.8000,4.7700,1.9446,1.9446,0
2026-04-01T21:40:11.397Z,1775079611397,rssi,Tag in the middle - C3,6.2600,3.1400,4.8000,4.7700,2.1883,2.1883,0
2026-04-01T21:40:12.235Z,1775079612235,rssi,Tag in the middle - C3,6.9500,2.1000,4.8000,4.7700,3.4280,3.4280,0
2026-04-01T21:40:13.025Z,1775079613025,raw,Tag in the middle - C3,6.2600,3.1400,4.8000,4.7700,2.1883,2.1883,0
2026-04-01T21:40:13.614Z,1775079613614,raw,Tag in the middle - C3,6.9700,2.1000,4.8000,4.7700,3.4406,3.4406,0
2026-04-01T21:40:14.197Z,1775079614197,kalman,Tag in the middle - C3,6.2100,3.1700,4.8000,4.7700,2.1326,2.1326,0
2026-04-01T21:40:14.796Z,1775079614796,kalman,Tag in the middle - C3,6.9000,2.1400,4.8000,4.7700,3.3655,3.3655,0
2026-04-01T21:40:15.383Z,1775079615383,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:40:15.937Z,1775079615937,gp,Tag in the middle - C3,3.3500,6.5500,4.8000,4.7700,2.2958,2.2958,0
2026-04-01T21:40:16.700Z,1775079616700,rssi,Tag in the middle - C3,6.2300,3.1200,4.8000,4.7700,2.1834,2.1834,0
2026-04-01T21:40:17.274Z,1775079617274,rssi,Tag in the middle - C3,6.9500,2.1000,4.8000,4.7700,3.4280,3.4280,0
2026-04-01T21:40:17.843Z,1775079617843,raw,Tag in the middle - C3,6.2600,3.1400,4.8000,4.7700,2.1883,2.1883,0
2026-04-01T21:40:18.424Z,1775079618424,raw,Tag in the middle - C3,6.9700,2.1000,4.8000,4.7700,3.4406,3.4406,0
2026-04-01T21:40:18.983Z,1775079618983,kalman,Tag in the middle - C3,6.2300,3.1600,4.8000,4.7700,2.1534,2.1534,0
2026-04-01T21:40:19.536Z,1775079619536,kalman,Tag in the middle - C3,6.9300,2.1300,4.8000,4.7700,3.3921,3.3921,0
2026-04-01T21:40:20.095Z,1775079620095,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:40:20.685Z,1775079620685,gp,Tag in the middle - C3,3.3500,6.5500,4.8000,4.7700,2.2958,2.2958,0
2026-04-01T21:41:30.389Z,1775079690389,rssi,Tag in the middle - C3,5.6800,4.2800,4.8000,4.7700,1.0072,1.0072,0
2026-04-01T21:41:31.001Z,1775079691001,rssi,Tag in the middle - C3,6.1500,3.6200,4.8000,4.7700,1.7734,1.7734,0
2026-04-01T21:41:31.576Z,1775079691576,raw,Tag in the middle - C3,5.6800,4.2800,4.8000,4.7700,1.0072,1.0072,0
2026-04-01T21:41:32.158Z,1775079692158,raw,Tag in the middle - C3,6.1400,3.4500,4.8000,4.7700,1.8810,1.8810,0
2026-04-01T21:41:32.738Z,1775079692738,kalman,Tag in the middle - C3,5.7900,4.0400,4.8000,4.7700,1.2300,1.2300,0
